Model,Embedding Dim,Hidden Dim,Num Layers,Dropout,LR,Batch Size,Best Val Loss,Best Val Accuracy,Best Perplexity
GRU_emb128_hid256_layers2_drop0.0_lr0.01_batch64,128,256,2,0.0,0.01,64,0.11248742672614753,0.970575,1.1190581865992888
GRU_emb128_hid256_layers2_drop0.0_lr0.01_batch128,128,256,2,0.0,0.01,128,0.10256130760535598,0.97186,1.108005228974871
GRU_emb128_hid256_layers2_drop0.0_lr0.001_batch64,128,256,2,0.0,0.001,64,0.08725051418878138,0.973875,1.0911699990487975
GRU_emb128_hid256_layers2_drop0.0_lr0.001_batch128,128,256,2,0.0,0.001,128,0.0856308601796627,0.973835,1.0894041116345576
GRU_emb128_hid256_layers2_drop0.3_lr0.01_batch64,128,256,2,0.3,0.01,64,0.11889660567976534,0.967555,1.1262534640567756
GRU_emb128_hid256_layers2_drop0.3_lr0.01_batch128,128,256,2,0.3,0.01,128,0.10257242480292916,0.97115,1.1080175469563842
GRU_emb128_hid256_layers2_drop0.3_lr0.001_batch64,128,256,2,0.3,0.001,64,0.0882847304455936,0.973235,1.0922990885614843
GRU_emb128_hid256_layers2_drop0.3_lr0.001_batch128,128,256,2,0.3,0.001,128,0.08628104161471128,0.973985,1.0901126522782338
GRU_emb128_hid512_layers2_drop0.0_lr0.01_batch64,128,512,2,0.0,0.01,64,0.11241786275058985,0.96987,1.1189803431705292
GRU_emb128_hid512_layers2_drop0.0_lr0.01_batch128,128,512,2,0.0,0.01,128,0.10139958001673222,0.971545,1.1067187761305959
GRU_emb128_hid512_layers2_drop0.0_lr0.001_batch64,128,512,2,0.0,0.001,64,0.08684079418890178,0.973805,1.0907230164520263
GRU_emb128_hid512_layers2_drop0.0_lr0.001_batch128,128,512,2,0.0,0.001,128,0.08529311185702682,0.973985,1.0890362293524896
GRU_emb128_hid512_layers2_drop0.3_lr0.01_batch64,128,512,2,0.3,0.01,64,0.15051896963268518,0.961295,1.162437355903648
GRU_emb128_hid512_layers2_drop0.3_lr0.01_batch128,128,512,2,0.3,0.01,128,0.10160488914698362,0.971525,1.1069460189266684
GRU_emb128_hid512_layers2_drop0.3_lr0.001_batch64,128,512,2,0.3,0.001,64,0.08384748012758791,0.973935,1.0874630214384486
GRU_emb128_hid512_layers2_drop0.3_lr0.001_batch128,128,512,2,0.3,0.001,128,0.08268521446734667,0.97404,1.0861998347333126
GRU_emb256_hid256_layers2_drop0.0_lr0.01_batch64,256,256,2,0.0,0.01,64,0.1162219294346869,0.9698,1.1232451256296336
GRU_emb256_hid256_layers2_drop0.0_lr0.01_batch128,256,256,2,0.0,0.01,128,0.09973348211497068,0.97235,1.1048764095076098
GRU_emb256_hid256_layers2_drop0.0_lr0.001_batch64,256,256,2,0.0,0.001,64,0.08711023954674602,0.973475,1.0910169463027417
GRU_emb256_hid256_layers2_drop0.0_lr0.001_batch128,256,256,2,0.0,0.001,128,0.08590262616053224,0.97399,1.0897002148450867
GRU_emb256_hid256_layers2_drop0.3_lr0.01_batch64,256,256,2,0.3,0.01,64,0.16228740150108933,0.95591,1.1761982338868855
GRU_emb256_hid256_layers2_drop0.3_lr0.01_batch128,256,256,2,0.3,0.01,128,0.10546853998675942,0.97095,1.1112311446264123
GRU_emb256_hid256_layers2_drop0.3_lr0.001_batch64,256,256,2,0.3,0.001,64,0.08635383192449808,0.97375,1.0901920048039082
GRU_emb256_hid256_layers2_drop0.3_lr0.001_batch128,256,256,2,0.3,0.001,128,0.08415497466921806,0.974125,1.087797461798423
GRU_emb256_hid512_layers2_drop0.0_lr0.01_batch64,256,512,2,0.0,0.01,64,0.11367019289173186,0.96965,1.1203825538136927
GRU_emb256_hid512_layers2_drop0.0_lr0.01_batch128,256,512,2,0.0,0.01,128,0.10001134546473622,0.97199,1.105183456824455
GRU_emb256_hid512_layers2_drop0.0_lr0.001_batch64,256,512,2,0.0,0.001,64,0.08574504661373794,0.97417,1.089528513907723
